Name,Category,Style,IBU,ABV,Brewery,Province,Country,Taste_Profile,Food_Pairing,Flavours,Link
1772 India Pale Ale,Ale,India Pale Ale,70,6.50%,Gahan Brewery,PEI,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Toasty, Malty, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1027758.aspx
Blueberry Ale,Ale,Flavoured Wheat Ale,12,4.50%,Gahan Brewery,PEI,Canada,Fruity and Smooth,"Salads, Pork, Mild Cheeses","Spice, Ripe Berry, Blueberry",https://www.mynslc.com/en/products/Beer/Ale/Flavoured%20Wheat%20Ale/1020574.aspx
Sir John A's Honey wheat Ale,Ale,Flavoured Wheat Ale,15,4.50%,Gahan Brewery,PEI,Canada,Fruity and Smooth,"Vegetarian, Sushi, Mild Cheeses","Honey, Grain, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Flavoured%20Wheat%20Ale/1027757.aspx
Snowbird Juicy IPA,Ale,India Pale Ale,45,6.00%,Gahan Brewery,PEI,Canada,Crisp and Hoppy,"Thai Cuisine, Curry, Asian","Tropical, Fresh, Citrus",https://www.mynslc.com/en/products/Beer/Ale/1030869.aspx
All Lit Up,Ale,Speciality Ale,,7.00%,Garrison Brewing Company,Nova Scotia,Canada,Bold and Full Flavoured,"Digestif, Dessert, Chocolate","Nutty, Ginger, Baking Spice",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1027001.aspx
Georgia Peach Pale Ale,Ale,Pale Ale,30,5.00%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Ribs, Pork, Blue Cheeses","Stone Fruit, Peach, Hoppy",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1031732.aspx
Hop Trip Simcoe,Ale ,India Pale Ale,,6.20%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,,"Citrus, Earthy, Pine",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1034411.aspx
Hoppy Buoy IPA,Ale,India Pale Ale,50,6.50%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Pub Fare, Curry, Asian","Tropical Fruit, Red Grapefruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1019057.aspx
Hop Trip Citrus IPA,Ale,India Pale Ale,,5.50%,Garrison Brewing Company,Nova Scotia,Canada,Bright and Balanced,"Thai Cuisine, Dim Sum, Asian Noodles","Orange, Fresh, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033323.aspx
Irish Red,Ale,Irish Red Ale,20,5.00%,Garrison Brewing Company,Nova Scotia,Canada,Robust and Malty,"Robust Salads, Irish Stew, Hearty Dishes","Toffee, Malty, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Irish%20Red%20Ale/1000803.aspx
Juicy Double IPA,Ale,Double India Pale Ale,75,8.00%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Moroccan, Curry, Asian","Tropical, Pine, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Double%20IPA/1025215.aspx
Lil Juicy IPA,Ale,India Pale Ale,,6.00%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Vegetarian Noodles, Thai Curry, Dim Sum","Tropical, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033259.aspx
Lucky Punk Sour IPA,Ale,Sour India Pale Ale,50,5.50%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Shellfish, Moroccan","Tangy, Stone Fruit, Dry",https://www.mynslc.com/en/products/Beer/Ale/1034099.aspx
Namaste IPA,Ale,India Pale Ale,,6.00%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Moroccan, Ginger Beef, Curry","Spice, Ginger, Dry",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1034003.aspx
Nut Brown Ale,Ale,Brown Ale,20,5.00%,Garrison Brewing Company,Nova Scotia,Canada,Robust and Malty,"Stews, Nutty Cheeses, English Pub Fare","Roasted Malt, Coffee, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Brown%20Ale/1000802.aspx
Pucker Up Citrus,Ale,Sour Ale,,4.90%,Garrison Brewing Company,Nova Scotia,Canada,Flavoured and Refreshing,"Salads, Appetizers, Aperitif","Tangy, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1033392.aspx
Pucker Up Kettle Sour,Ale,Sour Ale,,5.50%,Garrison Brewing Company,Nova Scotia,Canada,Fruity and Smooth,"Salads, Fresh Cheeses, Aperitif","Tangy, Red Fruit, Pomegranate",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1027492.aspx
Tall Ship,Ale,Pale Ale,14,5.00%,Garrison Brewing Company,Nova Scotia,Canada,Bright and Balanced,"Pub Fare, Pork, Pizza","Mild Hops, Light Malt, Fruit",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1001550.aspx
Glutenberg Blonde Ale,Ale,Blonde Ale,15,4.50%,Brasseurs Sans Gluten Inc,Quebec,Canada,Bright and Balanced,"Pad Thai, Marinated Olives, Goat Cheese","Lemon Peel, Green Tea, Floral",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1018700.aspx
Glutenberg India Pale Ale,Ale,India Pale Ale,76,6.00%,Brasseurs Sans Gluten Inc,Quebec,Canada,Crisp and Hoppy,"Fish and Chips, Curry (Mild), Asian","Pine, Herb, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1025896.aspx
Ezpinazo Del Diablo,Lager,Flavoured Lager,14,5.70%,Good Robot Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Tex Mex, Nachos, Dips","Spice, Pepper, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Flavoured%20Lager/1030312.aspx
Lil Creature Session IPA,Ale,India Pale Ale,,4.50%,Good Robot Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Thai Cuisine, Curry (Mild), Asian Noodles","Tropical, Fresh, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033880.aspx
312 Urban Wheat Ale,Ale,Wheat Ale,18,4.20%,Goose Island Beer Co.,Quebec,Canada,Light and Refreshing,"Shellfish, Mussels, Fresh Cheeses","Spice, Floral, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Wheat%20Ale/1031364.aspx
Goose Island India Pale Ale,Ale,India Pale Ale,55,5.90%,Goose Island Beer Co.,Quebec,Canada,Crisp and Hoppy,"Tex Mex, Curry, Cheese","Malty, Fresh, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1021694.aspx
Maritime Pale Ale,Ale,Pale Ale,35,5.60%,Grimross Brewing,New Brunswick,Canada,Crisp and Hoppy,"Salmon, Pork, Chicken","Toasty, Malty, Dry",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1028883.aspx
Grolsch Premium Pilsner,Lager,Pilsner,28,5.00%,Grolsch Brewery,,Netherlands ,Bright and Balanced,"Pub Fare, Fish and Chips, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1010999.aspx
Harp Lager,Lager,Pilsner,21,4.50%,Guinness Ltd.,,Ireland,Bright and Balanced,"Seafood, Salads, Aperitif","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1014553.aspx
Heineken Lager,Lager,Pale Lager,19,5.00%,Heineken International,,Netherlands,Bright and Balanced,"Salads, Pub Fare, Appetizers","Mild Hops, Grassy, Grain",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1000612.aspx
Helix Farmhouse Gluten Free,Ale,Speciality Ale,20,5.20%,Helix - Biere Sans Gluten,Quebec,Canada,Light and Refreshing,"Shellfish, salads, Appetizers","Honey, Fresh Bread, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1033288.aspx
Hell Bay English Ale,Ale,Pale Ale,,5.20%,Hell Bay Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Curry, BBQ Fare, Asian","Toasty, Malty, Hoppy",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033273.aspx
Hell Bay IPA,Ale,India Pale Ale,,6.30%,Hell Bay Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Teriaki, Roast Pork, Roast Beef","Molasses, Malty, Hoppy",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033270.aspx
Freezing Spray IPA,Ale,India Pale Ale,60,6.50%,Heritage Brewing CO.,Nova Scotia,Canada,Crisp and Hoppy,"Fish and Chips, Curry (Mild), Asian","Dry, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1027724.aspx
Kilometer Zero Cream Ale,Ale,Speciality Ale,,5.40%,Heritage Brewing CO.,Nova Scotia,Canada,Bold and Full Flavoured,"Dessert, Chocolate, Cakes","Vanilla, Smooth, Coffee",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1033024.aspx
Rusty Truck Red Ale,Ale,Red Ale,90,8.00%,Heritage Brewing CO.,Nova Scotia,Canada,,,,https://www.mynslc.com/en/products/Beer/Ale/Red%20Ale/1034630.aspx
Hoegaarden,Ale,Wheat Ale,15,4.90%,Hoegaarden Brewery,,Belgium,Fruity and Smooth,"Seafood, Mussels, Fresh Cheeses","Orange, Coriander, Banana",https://www.mynslc.com/en/products/Beer/Ale/Wheat%20Ale/1030849.aspx
Holsten Festbock,Lager,Bock,,7.00%,Holsten-Brauerei,,Germany,Bold and Full Flavoured,"Seafood, Pub Fare, Appetizers","Fresh Bread, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Bock/1000462.aspx
Holsten Maibock,Lager,Bock,,7.00%,Holsten-Brauerei,,Germany,Bold and Full Flavoured,"Tex Mex, Nachos, Appetizers","Lively, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Bock/1001304.aspx
Hop Trip Mosaic Citra IPA,Ale,India Pale Ale,30,6.20%,Garrison Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Tropical, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/1031759.aspx
The Original,Ale,Scotch Ale,18,6.60%,Innis and Gunn,Edinburgh,Scotland,Robust and Malty,"Salmon, Roast Chicken, Cheese","Vanilla, Creamy, Cereal",https://www.mynslc.com/en/products/Beer/Ale/Scotch%20Ale/1018313.aspx
Alexander Keith's India Pale Ale,Ale,India Pale Ale,20,5.00%,Alexander Keith's,Nova Scotia,Canada,Bright and Balanced,"Pub Fare, Dips, Appetizers","Mild Hops, Fresh Bread, Crisp",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1007628.aspx
Alexander Keith's Light Ale,Ale,Light Ale,,4.00%,Alexander Keith's,Nova Scotia,Canada,Light and Refreshing,"Pub Fare, Dips, Appetizers","Mild Hops, Fresh Bread, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Light%20Ale/1000338.aspx
Alexander Keith's Red Amber Ale,Ale,Red Ale,,5.00%,Alexander Keith's,Nova Scotia,Canada,Robust and Malty,"White Fish, Shellfish, Appetizers","Honey, Herb, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Red%20Ale/1001514.aspx
Kilkenny Irish Cream Ale,Ale,Irish Red Ale,,4.30%,Guinness Ltd.,Dublin,Ireland,Robust and Malty,"Pork, Mild Cheeses, Chicken","Soft, Malty, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Irish%20Red%20Ale/1023026.aspx
Kitchen Party Pale Ale,Ale,Pale Ale,33,5.60%,Big Spruce Brewing ,Nova Scotia,Canada,Crisp and Hoppy,"Roast Game, Curry, BBQ Fare","Pine, Citrus, Bitter",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1025069.aspx
Kronenbourg 1664,Lager,Pale Lager,20,5.50%,Kronenbourg Brewery,,France,Bright and Balanced,"White Fish, Salmon, Salads","Herb, Grain, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1001211.aspx
Kronenbourg 1664 Blanc,Ale,Wheat Ale,7,5.00%,Kronenbourg Brewery,,France,Flavoured and Refreshing,"Shellfish, BBQ Fare, Appetizers","Wheat, Coriander, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Wheat%20Ale/1020535.aspx
La Fin du Monde,Ale,Belgian Strong Ale,19,9.00%,Unibroue,Quebec,Canada,Bold and Full Flavoured,"Sausages, Grilled Salmon, Blue Cheeses","Spicy, Malty, Honey",https://www.mynslc.com/en/products/Beer/Ale/Belgian%20Strong%20Ale/1023015.aspx
Labatt Blue,Lager,Pale Lager,12,4.70%,Labatt Breweries,,Canada,Bright and Balanced,"Roast Chicken, Curry (Mild), Cheese","Floral Hop, Corn, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1007630.aspx
Labatt Lite,Lager,Light Lager,10,4.00%,Labatt Breweries,,Canada,Light and Refreshing,"Nachos, Dips, Appetizers","Floral Hop, Corn, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1000337.aspx
Landshark Premium Lager,Lager,Pale Lager,15,4.60%,Margaritaville Brewing Company,,USA,Light and Refreshing,"Nachos, Chicken Wings, Appetizers","Grain, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1030729.aspx
Charming Molly,Ale,Blonde Ale,19,5.40%,Lunn's Mill Beer Co.,Nova Scotia,Canada,Bright and Balanced,"Salmon, Mild Cheeses, Chicken","Malty, Lively, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1033210.aspx
Eclipse Black IPA,Ale,India Pale Ale,60,6.60%,Lunn's Mill Beer Co.,Nova Scotia,Canada,Crisp and Hoppy,"Roast Pork, Roast Beef, Braised Lamb","Toasty, Malty, Hoppy",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1034545.aspx
First Cut,Ale,India Pale Ale,68,5.70%,Lunn's Mill Beer Co.,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Curry, Asian Noodles","Hoppy, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033252.aspx
Lager Driver,Lager,Vienna Lager,25,5.50%,Lunn's Mill Beer Co.,Nova Scotia,Canada,Bright and Balanced,"Tex Mex, Roast Vegtables, Roast Chicken","Toasty, Smooth, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Vienna%20Lager/1030590.aspx
Malternate Reality IPA,Ale,India Pale Ale,51,6.30%,North Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Hoppy, Fruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/1026906.aspx
Maudite,Ale,Amber Ale,22,8.00%,Unibroue,Quebec,Canada,Bold and Full Flavoured,"Lamb, Game, Aged Cheeses","Spicy, Orange, Malty",https://www.mynslc.com/en/products/Beer/Ale/Amber%20Ale/1005066.aspx
Michelob Ultra Amber Max,Lager,Amber Lager,,4.00%,Anheuser-Busch,,Canada,Bright and Balanced,"Nachos, Chicken Wings, Appetizers","Crisp, Citrus, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Amber%20Lager/1033982.aspx
Michelob Ultra Lager,Lager,Pale Lager,10,4.20%,Anheuser-Busch,,Canada,Light and Refreshing,"Mussels, Fresh Cheeses, Custards","Smooth, Citrus, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1015699.aspx
Cobblestone Stout,Ale,Stout,40,4.20%,Mill Street Brewery,Ontario,Canada,Bold and Full Flavoured,"Smoked Salmon, Irish Stew, BBQ Fare","Toasty, Mild Hops, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Stout/1016745.aspx
Mill Street Organic Lager,Lager,Pale Lager,11,4.20%,Mill Street Brewery,Ontario,Canada,Bright and Balanced,"Shellfish, salads, Appetizers","Crisp, Citrus, Apple",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1014569.aspx
Mill Street Tankhouse Ale,Ale,Pale Ale,40,5.20%,Mill Street Brewery,Ontario,Canada,Crisp and Hoppy,"Mexican, Cheese, Braised Ribs","Spicy, Malty, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1031919.aspx
Miller Genuine Draft,Lager,Pale Lager,12,4.66%,Molson Coors Canada Inc.,,Canada,Bright and Balanced,"Appetizers, Pub Fare","Crisp, Grain, Lively",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1000897.aspx
Miller High Life,Lager,Pale Lager,7,4.60%,Molson Coors Canada Inc.,,Canada,Bright and Balanced,"Nachos, Chicken Wings, Appetizers","Lively, Grain, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1033304.aspx
Miller Lite,Lager,Light Lager,10,4.20%,Molson Coors Canada Inc.,,Canada,Light and Refreshing,"Salads, Dips, Appetizers","Smooth, Crisp, Balanced",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1027766.aspx
Molson Canadian Cold Shots,Lager,Pale Lager,,6.00%,Molson Coors Canada Inc.,,Canada,Bright and Balanced,"Pub Fare, Dips, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1023603.aspx
Molson Canadian Lager,Lager,Pale Lager,15,5.00%,Molson Coors Canada Inc.,,Canada,Bright and Balanced,"Pub Fare, Nachos, Dips","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1007623.aspx
Molson Fireside Lager,Lager ,Dark Lager,,4.60%,Molson Coors Canada Inc.,,Canada,Robust and Malty,"Tex Mex, Tacos, Pizzas","Lively, Clean, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Dark%20Lager/1032005.aspx
Molson Golden,Ale,Blonde Ale,,5.00%,Molson Coors Canada Inc.,,Canada,Bright and Balanced,"Pub Fare, Chicken Wings, Appetizers","Grassy, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1033761.aspx
Molson Ultra,Lager,Light Lager,,3.00%,Molson Coors Canada Inc.,,Canada,Light and Refreshing,"Salads, Crudite, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1020942.aspx
Moosehead Cracked Canoe,Lager,Light Lager,8,3.50%,Moosehead Breweries,New Brunswick,Canada,Light and Refreshing,"Shellfish, Fresh Cheeses, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1034342.aspx
Moosehead Cranberry Radler,Lager,Radler,,4.00%,Moosehead Breweries,New Brunswick,Canada,Flavoured and Refreshing,"Salads, Fresh Cheeses, Aperitif","Tangy, Red Fruit, Cranberry",https://www.mynslc.com/en/products/Beer/Lager/Radler/1032016.aspx
Moosehead Dry Ice,Lager,Pale Lager,13,6.00%,Moosehead Breweries,New Brunswick,Canada,Bright and Balanced,"Pub Fare, BBQ Fare, Appetizers","Malty, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1027763.aspx
George W.C.'s Pale Mild,Ale,Pale Ale,20,3.50%,Moosehead Breweries,New Brunswick,Canada,Bright and Balanced,"Ploughman's Lunch, Mild Cheeses, Cured Meats","Nutty, Malty, Fruit",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1034401.aspx
Moosehead Small Batch Irish Red Ale,Ale,Irish Red Ale,20,4.80%,Moosehead Breweries,New Brunswick,Canada,Bright and Balanced,"Ribs, Pork, Cheddar","Malty, Clean, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Irish%20Red%20Ale/1032010.aspx
Moosehead Lager,Lager,Pale Lager,13,5.00%,Moosehead Breweries,New Brunswick,Canada,Bright and Balanced,"Shellfish, salads, Appetizers","Grain, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1007793.aspx
Moosehead Small Batch Mango IPA,Ale,india Pale Ale,35,6.70%,Moosehead Breweries,New Brunswick,Canada,Crisp and Hoppy,"Roast Chicken, Firm Cheeses, Curry","Tropical, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/1033077.aspx
Moosehead Small Batch Peppermint IPA,Ale,India Pale Ale,40,5.60%,Moosehead Breweries,New Brunswick,Canada,Bright and Balanced,"Thai Cuisine, Curry (Mild), Asian Noodles","Mint, fresh, Clean",https://www.mynslc.com/en/products/Beer/Ale/1032013.aspx
Moosehead Radler,Lager,Radler,10,4.00%,Moosehead Breweries,New Brunswick,Canada,Flavoured and Refreshing,"Shellfish, salads, Appetizers","Grapefruit, Grape, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Radler/1027055.aspx
Moosehead Small Batch Rauchbier Smoked ,Lager,Dark Lager,13,5.50%,Moosehead Breweries,New Brunswick,Canada,Robust and Malty,"Pork, Cheddar, Bacon","Smoky, Malty, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Dark%20Lager/1032359.aspx
Moosehead Small Batch Rose Hibiscus Saison,Ale,Saison,7,6.10%,Moosehead Breweries,New Brunswick,Canada,Fruity and Smooth,"Salmon, Salads, Aperitif","Rose, Fresh, Floral",https://www.mynslc.com/en/products/Beer/Ale/Saison/1033079.aspx
Moosehead Small Batch East Coast IPA,Ale,India Pale Ale,35,6.50%,Moosehead Breweries,New Brunswick,Canada,Crisp and Hoppy,"Moroccan, Curry (Mild), Blue Cheeses","Tropical, Fresh, Citrus",https://www.mynslc.com/en/products/Beer/Ale/1034084.aspx
Moosehead Small Batch West Coast IPA,Ale,India Pale Ale,60,6.50%,Moosehead Breweries,New Brunswick,Canada,Crisp and Hoppy,"Moroccan, Asian Noodles, Asian","Pine, Grapefruit, Dry",https://www.mynslc.com/en/products/Beer/Ale/1034083.aspx
Moosehead Strawberry Lemonade Radler,Lager ,Radler,,4.00%,Moosehead Breweries,New Brunswick,Canada,Flavoured and Refreshing,"Salads, Fresh Cheeses, Appetizers","Tangy,  Strawberry, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Radler/1033045.aspx
Moosehead Ten Penny Ale,Ale,Amber Ale,25,5.20%,Moosehead Breweries,New Brunswick,Canada,Bright and Balanced,"Pub Fare, Chicken Wings, Appetizers","Grain, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Amber%20Ale/1029609.aspx
Andrew's Cross Extra pale Ale,Ale,Pale,,5.70%,New Scotland Brewing Co.,Nova Scotia,Canada,Bright and Balanced,,"Citrus, Crisp, Floral",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033583.aspx
Newcastle Brown Ale,Ale,Brown Ale,18,4.70%,Heineken International,,England,Robust and Malty,"Roast Pork, Roast Chicken, Nutty Cheeses","Smooth, Nutty, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Brown%20Ale/1001825.aspx
Apricot Blonde,Ale,Blonde Ale,12,5.00%,Nine Locks Brewing,Nova Scotia,Canada,Fruity and Smooth,"Salads, Fresh Cheeses, Appetizers","Lively, Crisp, Apricot",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1028509.aspx
Nine Locks Cream Ale,Hybrid,Cream Ale,15,5.20%,Nine Locks Brewing,Nova Scotia,Canada,Bright and Balanced,"Tacos, Seafood, Chicken","Grain, Earthy, Caramel",https://www.mynslc.com/en/products/Beer/Hybrid/Cream%20Ale/1025809.aspx
Nine Locks Dirty Blonde ,Ale,Blonde Ale,12,5.00%,Nine Locks Brewing,Nova Scotia,Canada,Light and Refreshing,"White Fish, Salads, Fresh Cheeses","Yeast, Grain, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1031907.aspx
Fathom Double IPA,Ale,Double India Pale Ale,90,8.00%,Nine Locks Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Indian Cuisine, Cheese","Malty, Grapefruit, Floral",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1022867.aspx
Frig Off IPA,Ale,India Pale Ale,30,6.70%,Nine Locks Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Tropical, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1031926.aspx
Harvest Pumpkin Ale,Ale,Speciality Ale,12,5.20%,Nine Locks Brewing,Nova Scotia,Canada,Fruity and Smooth,"Roast Chicken, Nutty Cheeses, Nuts","Pumpkin, Cloves, Cinnamon",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1026422.aspx
Nine Locks IPA,Ale,India Pale Ale,70,6.90%,Nine Locks Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Cheese, Asian","Malty, Grapefruit, Floral",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1022867.aspx
Nine Locks Pale Ale,Ale,Pale Ale,35,5.50%,Nine Locks Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Roast Chicken, Grilled Pork, Cheddar","Pine, Fruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1030639.aspx
Nine Locks Porter,Ale,Porter,25,5.00%,Nine Locks Brewing,Nova Scotia,Canada,Bold and Full Flavoured,"Dessert, Chocolate, Blue Cheeses","Mocha, Coffee, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Porter/1024101.aspx
Nine Locks Snappy Pale Ale,Ale,Pale Ale,35,5.50%,Nine Locks Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Roast Chicken, Grilled Pork, Cheddar","Pine, Fruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033305.aspx
Nine Locks Watermelon Blonde,Ale,Blonde Ale,12,5.00%,Nine Locks Brewing,Nova Scotia,Canada,Flavoured and Refreshing,"Salads, Fresh Cheeses, Appetizers","Watermelon, Tropical, Fresh",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1025133.aspx
B.Y.O.B,Ale,Light Ale,,3.50%,North Brewing Company,Nova Scotia,Canada,Flavoured and Refreshing,,"Crisp, Lemon, Lime",https://www.mynslc.com/en/products/Beer/Ale/Light%20Ale/1033602.aspx
Gold Sounds Blonde Ale,Ale,Blonde Ale,,5.00%,North Brewing Company,Nova Scotia,Canada,Bright and Balanced,"White Fish, Mussels, Chicken","Smooth, Malty, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1034325.aspx
Hi Fi DIPA,Ale,India Pale Ale,,8.50%,North Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,,"Citrus, Dry, Pine",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033616.aspx
Oland Export Ale,Ale,Light Ale,,5.00%,Oland Brewery,Nova Scotia,Canada,Bright and Balanced,"Pub Fare, Fish and Chips, Appetizers","Mild Hops, Fresh Bread, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Light%20Ale/1019786.aspx
Schooner Lager,Lager,Pale Lager,,5.00%,Oland Brewery,Nova Scotia,Canada,Bright and Balanced,"Ploughman's Lunch, Curry (Mild), Cheese","Grain, Crisp, Balanced",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1013330.aspx
Old Milwaukee Lager,Lager,Pale Lager,,5.00%,Pabst Brewing Company,,USA,Bright and Balanced,"Nachos, Chicken Wings, Appetizers","Fresh Bread, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1000448.aspx
